,Text,Author,Created at,Retweet count,Favorite count,Location,Follower count
32,Electric Vehicles: What Is Really Stopping Them from Becoming https://t.co/UoxaAXVuvb #electriccars #electricvehicles #environment #tesla,the_detechtor,2021-06-23 00:43:16,0,0,Internet,146
33,"RT @anasalhajji: Bitcoin price crash is weighing on Tesla's stock: analyst 
#Tesla #Bitcoin $tsla

https://t.co/NnzN9fb80T",euentgunn,2021-06-23 00:42:10,2,0,,555
34,"RT @TysonLester: It's exciting to watch this rising star in the #ElectricVehicle market excel.

At https://t.co/SHZFraVpkl, we believe the…",alexis_tth,2021-06-23 00:41:34,10,0,,585
35,"RT @qilipqop: Confrontation: the beginning.
Starring: @elonmusk, @dogecoin, @VitalikButerin, @ethereum, @Bitcoin and others.
The full 8K ve…",nft_artist1,2021-06-23 00:37:29,4,0,,2844
36,"RT @anasalhajji: Bitcoin price crash is weighing on Tesla's stock: analyst 
#Tesla #Bitcoin $tsla

https://t.co/NnzN9fb80T",JCOviedo6,2021-06-23 00:37:26,2,0,,5830
37,"RT @qilipqop: Confrontation: the beginning.
Starring: @elonmusk, @dogecoin, @VitalikButerin, @ethereum, @Bitcoin and others.
The full 8K ve…",godfrey_G_,2021-06-23 00:37:21,4,0,"Johannesburg, South Africa",2425
38,"RT @DeFiNames: https://t.co/H4svBfftZK is on sale.! @Afternic 
#programmer #DEVCommunity #startup #agency #Bitcoin #Cryptocurrency #Domains…",theDomainBot,2021-06-23 00:37:05,3,0,,666
39,"#Tesla #ArtificialIntelligence #AI Day to take place in about a month, #ElonMusk says https://t.co/6prqiEpYqv @RiskCentre",SaeedBaygi,2021-06-23 00:37:03,0,0,Global,14162
40,RT @DiavoloMartin: #this is the way? #doge #dogecoin #ElonMusk @dogecoin @elonmusk #Tesla @Tesla #cryptocurrency #pic #picturethis https://…,parrita221,2021-06-23 00:37:01,173,0,,32
41,"https://t.co/H4svBfftZK is on sale.! @Afternic 
#programmer #DEVCommunity #startup #agency #Bitcoin #Cryptocurrency… https://t.co/pew5PMaHUd",DeFiNames,2021-06-23 00:37:00,3,0,888.house,110
42,"#dogecoin happy whale 50% off crypto holiday sale 🚀
'don't be scared I am not scary I just wanted to be HODL

$AMC… https://t.co/2ciaqgtOOu",Comm3ntT,2021-06-23 00:36:57,0,2,Moon,9
43,RT @DiavoloMartin: #this is the way? #doge #dogecoin #ElonMusk @dogecoin @elonmusk #Tesla @Tesla #cryptocurrency #pic #picturethis https://…,nzzz69043726,2021-06-23 00:36:19,173,0,,6
44,RT @5stocksinto: 5 Chinese Stocks Into Lithium Batteries https://t.co/xIpWO9ErRd #Lithium #Stocks #Investment #Cobalt #Battery #Technology…,5stocksinto,2021-06-23 00:34:42,12,0,WorldWide,1295
45,"RT @RhelliH: TO THE MOON 🚀🚀🚀
#DogeFather 
#Elonmusk 
#Tesla 
#dogearmy 
#dream 
#moon 
#SpaceX 
#Bitcoin 
#MattWallace888
#dogecoin https:/…",godfrey_G_,2021-06-23 00:34:00,1,0,"Johannesburg, South Africa",2425
46,"RT @CumBlastBsc: Time For Cumblasting Is Approaching!!!💦💦💦
One Lucky Cumblaster will be selected for the @Tesla #giveaway on June 23 at 5 p…",red_btw,2021-06-23 00:32:28,12,0,,4
47,"$BTC 
Elon Musk's plot.🤔

#BTC 
#BITCOIN 
#Elonmusk
#TESLA
#陰謀説 https://t.co/VmpK3ZzGxL",namucoin,2021-06-23 00:30:49,0,1,知多半島,101
48,"$TSLA winnings of initial #BTC investment🙌

$-99857186 (-7.4 %) (Realized: 272 M)
(Estimating an average buy price… https://t.co/Adrb6hnnMQ",MBrae3,2021-06-23 00:30:05,0,0,,1263
49,"RT @TeslaNY: Model S Plaid Fund (6/21/21): “We’ve already bought it, it’s on order, we should get it in 2 weeks.” 🏎⚡️🔌 https://t.co/puqyVGa…",michaelbenson,2021-06-23 00:28:42,52,0,"Santo Domingo, DR",172
50,@SFist @elonmusk  Now we’re in a drought and we thought #Tesla was helping the environment. Time to shutdown shop a… https://t.co/jLVGTnotff,twitsofshame,2021-06-23 00:26:33,0,0,,48
51,"RT @superchargefeed: #tesla #supercharger in Bemidji, MN, USA is under construction with 8 stalls (250 kW) https://t.co/wtZlc20wjG",joe_minaj,2021-06-23 00:25:11,4,0,"Minneapolis, Minnesota",270
52,"RT @TysonLester: It's exciting to watch this rising star in the #ElectricVehicle market excel.

At https://t.co/SHZFraVpkl, we believe the…",SustainTrends,2021-06-23 00:24:09,10,0,,6163
53,"RT @CumBlastBsc: Time For Cumblasting Is Approaching!!!💦💦💦
One Lucky Cumblaster will be selected for the @Tesla #giveaway on June 23 at 5 p…",Godwin51222209,2021-06-23 00:20:53,12,0,,8
54,"RT @Teslaconomics: I remember when many would show off their lambos and luxuries watches, but I was never into that bc I knew through inves…",natthanrodri,2021-06-23 00:18:47,6,0,,161
55,"RT @pauljamil: Just took delivery of the first Model S Plaid in Virginia. I’ve owned lambos, ferraris, and mclarens, and I’ve NEVER felt an…",Jayse6n2,2021-06-23 00:16:51,507,0,,0
56,"Lynn Miller, Former Deputy General Counsel at #Tesla $TSLA, Joins Executive Team of Autonomous Trucking #technology… https://t.co/plNmEPFaH2",Stock_Market_Pr,2021-06-23 00:13:09,0,1,,25369
57,"@HalifaxAuthor @UniPicturesCAN Im waiting for number 10 when they finally put a real car in the movie.
#Tesla",TheJewbyrd7777,2021-06-23 00:10:40,0,0,Type Zero,657
58,RT @alvinfoo: Dubai Airport full of #Tesla https://t.co/EHsJOhIZv3,SeymourButts73,2021-06-23 00:10:31,47,0,,552
